id,date,infadj,raw,10 yr treasury
DJIA,1/1/1915,1402.59,56.54,0.042
DJIA,2/1/1915,1378.53,55.02,0.042
DJIA,3/1/1915,1539.49,60.83,0.042
DJIA,4/1/1915,1798.45,71.78,0.042
DJIA,5/1/1915,1612.7,65.01,0.042
DJIA,6/1/1915,1737.98,70.06,0.042
DJIA,7/1/1915,1873.67,75.53,0.042
DJIA,8/1/1915,2014.33,81.2,0.041
DJIA,9/1/1915,2247.02,90.58,0.041
DJIA,10/1/1915,2341.84,95.34,0.041
DJIA,11/1/1915,2352.47,96.71,0.041
DJIA,12/1/1915,2411.82,99.15,0.041
DJIA,1/1/1916,2182.16,90.58,0.041
DJIA,2/1/1916,2193,91.03,0.041
DJIA,3/1/1916,2225.13,93.25,0.041
DJIA,4/1/1916,2118.97,89.65,0.041
DJIA,5/1/1916,2149.59,91.8,0.041
DJIA,6/1/1916,2078.17,89.58,0.041
DJIA,7/1/1916,2070.51,89.25,0.041
DJIA,8/1/1916,2120.46,92.25,0.042
DJIA,9/1/1916,2341.39,103.73,0.042
DJIA,10/1/1916,2319.41,104.61,0.042
DJIA,11/1/1916,2308.77,105.97,0.042
DJIA,12/1/1916,2051.91,95,0.042
DJIA,1/1/1917,2043.54,95.43,0.042
DJIA,2/1/1917,1911.68,91.56,0.043
DJIA,3/1/1917,2019.42,96.72,0.043
DJIA,4/1/1917,1853.88,93.23,0.043
DJIA,5/1/1917,1906.12,97.38,0.043
DJIA,6/1/1917,1838.26,95.38,0.044
DJIA,7/1/1917,1795.91,91.75,0.044
DJIA,8/1/1917,1607.37,83.4,0.044
DJIA,9/1/1917,1572.22,83.46,0.045
DJIA,10/1/1917,1382.65,74.5,0.045
DJIA,11/1/1917,1348.31,72.65,0.045
DJIA,12/1/1917,1360.26,74.38,0.045
DJIA,1/1/1918,1428.1,79.8,0.046
DJIA,2/1/1918,1428.45,80.39,0.046
DJIA,3/1/1918,1367.43,76.41,0.046
DJIA,4/1/1918,1367.59,77.51,0.046
DJIA,5/1/1918,1349.14,78.08,0.046
DJIA,6/1/1918,1407.49,82.58,0.045
DJIA,7/1/1918,1347.77,81.23,0.045
DJIA,8/1/1918,1341.54,82.46,0.045
DJIA,9/1/1918,1351.32,84.68,0.045
DJIA,10/1/1918,1339,85.51,0.045
DJIA,11/1/1918,1243.98,80.93,0.045
DJIA,12/1/1918,1248.21,82.2,0.045
DJIA,1/1/1919,1224.06,80.61,0.045
DJIA,2/1/1919,1311.67,84.81,0.045
DJIA,3/1/1919,1357.36,88.85,0.046
DJIA,4/1/1919,1393.48,92.88,0.046
DJIA,5/1/1919,1564.04,105.5,0.047
DJIA,6/1/1919,1585.98,106.98,0.047
DJIA,7/1/1919,1543,107.16,0.047
DJIA,8/1/1919,1482.74,104.75,0.048
DJIA,9/1/1919,1568.35,111.42,0.048
DJIA,10/1/1919,1646.09,118.92,0.049
DJIA,11/1/1919,1404.68,103.72,0.049
DJIA,12/1/1919,1421.44,107.23,0.049
DJIA,1/1/1920,1352.85,104.21,0.050
DJIA,2/1/1920,1171.57,91.18,0.050
DJIA,3/1/1920,1307.54,102.81,0.050
DJIA,4/1/1920,1154.47,93.54,0.050
DJIA,5/1/1920,1116.59,91.81,0.050
DJIA,6/1/1920,1088.03,90.76,0.050
DJIA,7/1/1920,1046.11,86.85,0.050
DJIA,8/1/1920,1063.39,86.16,0.050
DJIA,9/1/1920,1039.11,82.95,0.051
DJIA,10/1/1920,1071.16,85.08,0.051
DJIA,11/1/1920,962.21,76.04,0.051
DJIA,12/1/1920,929.23,71.95,0.051
DJIA,1/1/1921,1003.93,76.13,0.051
DJIA,2/1/1921,1021,74.98,0.050
DJIA,3/1/1921,1037.23,75.76,0.050
DJIA,4/1/1921,1087.57,78.57,0.049
DJIA,5/1/1921,1039.54,73.44,0.048
DJIA,6/1/1921,974.45,68.45,0.048
DJIA,7/1/1921,967.78,68.37,0.047
DJIA,8/1/1921,949.94,67.11,0.046
DJIA,9/1/1921,1017.65,71.08,0.046
DJIA,10/1/1921,1048.15,73.21,0.045
DJIA,11/1/1921,1113.04,77.3,0.044
DJIA,12/1/1921,1170.15,80.8,0.044
DJIA,1/1/1922,1205.27,81.3,0.043
DJIA,2/1/1922,1266.94,85.46,0.043
DJIA,3/1/1922,1336.02,89.05,0.043
DJIA,4/1/1922,1379.23,91.93,0.043
DJIA,5/1/1922,1440.74,96.03,0.043
DJIA,6/1/1922,1394.23,92.93,0.043
DJIA,7/1/1922,1447.31,97.05,0.043
DJIA,8/1/1922,1521.07,100.78,0.043
DJIA,9/1/1922,1465.83,97.12,0.043
DJIA,10/1/1922,1441.94,96.11,0.044
DJIA,11/1/1922,1411.52,94.65,0.044
DJIA,12/1/1922,1455.37,98.17,0.044
DJIA,1/1/1923,1452.97,97.43,0.044
DJIA,2/1/1923,1549.46,103.9,0.043
DJIA,3/1/1923,1532.61,102.77,0.043
DJIA,4/1/1923,1458.48,98.38,0.043
DJIA,5/1/1923,1445.88,97.53,0.043
DJIA,6/1/1923,1302.84,88.4,0.042
DJIA,7/1/1923,1266.02,86.91,0.042
DJIA,8/1/1923,1369.38,93.46,0.042
DJIA,9/1/1923,1281.46,87.97,0.042
DJIA,10/1/1923,1282.09,88.53,0.041
